"codigo","id_pop","crm","clasificacion_sitio","categoria_planificacion","sistema_energia","pe_3g","mpls","olt","olt_3play","core","panel_solar","latitud","longitud"
ZV046,1669,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.046667,-71.6180552
VA938,1671,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.912511,-71.434547
VR024,1672,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.6728,-71.4409
ZV248,1673,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0477,-71.6085201
VR268,1675,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.030839,-71.6423379
VR734,1677,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.765204,-70.706523
VR554,1678,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.964444,-71.289722
VR549,1679,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.066953,-71.47872
RV167,1681,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0297609,-71.6531558
RM496,1682,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.385833,-71.271944
VR365,1683,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.2858,-71.638633
RV895,1684,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.283333,-71.577778
ZV199,1685,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.0712244,-71.5501537
RV977,1686,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.034489,-71.5963219
FN397,1687,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.439389,-71.197861
ZV132,1688,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.856833,-71.232528
VR980,1689,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.729694,-71.489222
VR546,1690,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.066638,-71.365722
VR694,1691,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.060331,-71.347561
VR695,1692,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.041886,-71.353501
VA966,1693,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.051282,-71.368271
RV092,1694,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.060556,-71.415833
RV080,1695,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.062094,-71.392611
VR013,1696,Centro,C,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.035456,-71.500383
VA545,1697,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.030278,-71.477778
VR279,1698,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.031178,-71.555986
ESTVA041,1700,Centro,B1,nan,ONGRID,NO,SI,NO,SI,NO,NO,-33.02339,-71.554753
ESTVA022,1701,Centro,B2,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.359703,-71.343857
VR283,1702,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.007833,-71.540914
VR673,1703,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.060806,-71.593528
VR670,1704,Centro,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.046792,-71.594671
VA978,1705,Centro,B2,C,ONGRID,NO,NO,NO,NO,NO,NO,-32.561616,-71.448668
ONURM048,1706,Metropolitano,B1,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.512857,-70.660776
ONURM054,1707,Metropolitano,B1,nan,ONGRID,NO,NO,NO,NO,NO,NO,-33.451793,-70.634172
SA040,1708,Metropolitano,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.422139,-70.609331
ZM268,1709,Metropolitano,D,C,ONGRID,NO,NO,NO,NO,NO,NO,-33.4221028,-70.608636
